"Request Source	Country Code	Asset Id	Originating System ID"
"FEDORA	AT	9923879962401921	oai:bir.brandeis.edu:10192/24370"
"FEDORA	AT	9923879970701921	oai:bir.brandeis.edu:10192/27099"
"FEDORA	AT	9923879972401921	oai:bir.brandeis.edu:10192/30533"
"FEDORA	AT	9923879972501921	oai:bir.brandeis.edu:10192/33932"
"FEDORA	AT	9923879972801921	oai:bir.brandeis.edu:10192/24260"
"FEDORA	AT	9923879975401921	oai:bir.brandeis.edu:10192/32273"
"FEDORA	AT	9923879976701921	oai:bir.brandeis.edu:10192/28744"
"FEDORA	AT	9923879978601921	oai:bir.brandeis.edu:10192/33912"
"FEDORA	AT	9923879980101921	oai:bir.brandeis.edu:10192/27098"
"FEDORA	AT	9923879981801921	oai:bir.brandeis.edu:10192/32090"
"FEDORA	AT	9923879983701921	oai:bir.brandeis.edu:10192/30681"
"FEDORA	AT	9923880012001921	oai:bir.brandeis.edu:10192/23861"
"FEDORA	AT	9923880012401921	oai:bir.brandeis.edu:10192/35292"
"FEDORA	AT	9923880013201921	oai:bir.brandeis.edu:10192/30582"
"FEDORA	AT	9923880014701921	oai:bir.brandeis.edu:10192/32314"
"FEDORA	AT	9923880015201921	oai:bir.brandeis.edu:10192/26326"
"FEDORA	AT	9923880018001921	oai:bir.brandeis.edu:10192/30632"
"FEDORA	AT	9923880019901921	oai:bir.brandeis.edu:10192/21"
"FEDORA	AT	9923880020801921	oai:bir.brandeis.edu:10192/28470"
"FEDORA	AT	9923880023201921	oai:bir.brandeis.edu:10192/32890"
"FEDORA	AT	9923880026001921	oai:bir.brandeis.edu:10192/33890"
"FEDORA	AT	9923880028401921	oai:bir.brandeis.edu:10192/24376"
"FEDORA	AT	9923880030401921	oai:bir.brandeis.edu:10192/27053"
"FEDORA	AT	9923880031101921	oai:bir.brandeis.edu:10192/25053"
"FEDORA	AT	9923880035901921	oai:bir.brandeis.edu:10192/30587"
"FEDORA	AT	9923880038201921	oai:bir.brandeis.edu:10192/25120"
"FEDORA	AT	9923880038901921	oai:bir.brandeis.edu:10192/27094"
"FEDORA	AT	9923880041901921	oai:bir.brandeis.edu:10192/32322"
"FEDORA	AT	9923880046101921	oai:bir.brandeis.edu:10192/31311"
"FEDORA	AT	9923880049601921	oai:bir.brandeis.edu:10192/30674"
"FEDORA	AT	9923880053601921	oai:bir.brandeis.edu:10192/26570"
"FEDORA	AT	9923880053901921	oai:bir.brandeis.edu:10192/27100"
"FEDORA	AT	9923880055501921	oai:bir.brandeis.edu:10192/25162"
"FEDORA	AT	9923880059701921	oai:bir.brandeis.edu:10192/30577"
"FEDORA	AT	9923880060501921	oai:bir.brandeis.edu:10192/27102"
