assetID, owningItem, assetFileID, timestamp, countrycode, ip,,,,,,
oai:bir.brandeis.edu:10192/24059,24791, PDF-1,1600600751, ZA,105.209.41.124,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584537619, ZA,105.225.123.163,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584451619, ZA,105.225.123.163,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584452256, ZA,105.225.123.163,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584514089, ZA,105.225.123.163,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584457601, ZA,105.225.123.163,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584458008, ZA,105.225.123.163,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584458794, ZA,105.225.123.163,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584463267, ZA,105.225.123.163,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584467553, ZA,105.225.123.163,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1593753602, ZA,105.225.146.61,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1600752605, ZA,105.225.5.205,,,,,,
oai:bir.brandeis.edu:10192/23244,23472, PDF-1,1600257430, ZA,105.226.108.197,,,,,,
oai:bir.brandeis.edu:10192/24059,24791, PDF-1,1599213897, ZA,105.226.77.194,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1598253184, ZA,105.227.100.240,,,,,,
oai:bir.brandeis.edu:10192/30533,34506, PDF-1,1598789897, ZA,105.227.172.244,,,,,,
oai:bir.brandeis.edu:10192/32312,38416, PDF-1,1599195200, ZA,105.242.230.66,,,,,,
oai:bir.brandeis.edu:10192/32312,38416, PDF-1,1599195202, ZA,105.242.230.66,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1598167999, ZA,105.246.72.90,,,,,,
oai:bir.brandeis.edu:10192/24425,25385, PDF-1,1595572813, ZA,105.247.12.199,,,,,,
